Comments,Username,Created_at,Source,Like,Replies_count,Lang
"""We must challenge victim-blaming attitudes and hold perpetrators accountable. #ChallengeBlame""",tree_trekker_55,10/16/2019 22:07,instagram for iPhone,0,0,en
"""Survivors of sexual violence deserve respect, support, and justice. #RespectSupportJustice""",floral_fantasy_26,10/16/2019 22:06,instagram for Android,0,81,en
"""Rape is a crime of power and control. Let's dismantle the systems that enable it. #DismantleSystems""",sunlit_spark_73,10/16/2019 22:06,instagram Web App,0,51,en
"""No means no, and anything other than an enthusiastic yes is not consent. #NoMeansNo""",nature_nurturing_42,10/16/2019 22:06,instagram for Android,0,1,en
"""We must create a culture where survivors feel safe to come forward and seek justice. #SafeCulture""",river_rover_88,10/16/2019 22:06,instagram for iPhone,0,19,en
"""Consent is not just about words. It's about respect for boundaries and autonomy. #RespectAutonomy""",trail_trek_57,10/16/2019 22:05,instagram for iPhone,0,3,en
"""We must challenge the culture of silence that protects perpetrators and silences survivors. #BreakTheSilence""",eco_explorer_67,10/16/2019 22:05,instagram for Android,0,14,en
"""Survivors of sexual violence are not responsible for the actions of their perpetrators. #NoResponsibility""",wild_wanderer_23,10/16/2019 22:05,instagram for iPhone,0,2,en
"""We must dismantle the structures of oppression that perpetuate sexual violence. #DismantleOppression""",outdoor_odyssey_78,10/16/2019 22:04,instagram for Android,0,24,en
"""Support survivors by listening to their stories with empathy and without judgment. #ListenWithEmpathy""",nature_nirvana_59,10/16/2019 22:04,instagram for iPhone,0,100,en
"""Consent is a fundamental human right. Let's respect it in all interactions. #RespectConsent""",leafy_love_38,10/16/2019 22:04,instagram for iPhone,1,100,en
"""Rape culture thrives when we stay silent. Let's speak out and challenge it. #SpeakOutChallenge""",greenery_glory_64,10/16/2019 22:04,instagram for Android,1,0,en
"""We must confront the toxic masculinity that fuels violence against women. #ConfrontToxicity""",earth_enchantress_72,10/16/2019 22:04,instagram for iPhone,0,315,en
"""Survivors deserve support, resources, and justice. Let's stand with them. #SupportResourcesJustice""",mountain_melody_29,10/16/2019 22:03,instagram Web App,0,0,en
"""Let's teach our children about consent, boundaries, and respect from a young age. #TeachConsent""",serene_sights_84,10/16/2019 22:03,instagram.io,0,0,en
"""Sexual violence is a violation of basic human rights. Let's work to end it. #EndSexualViolence""",woodland_whispers_67,10/16/2019 22:02,instagram for Android,1,20,en
"""We must address the root causes of sexual violence to create lasting change. #AddressRootCauses""",blossom_bounty_92,10/16/2019 22:02,instagram Web App,0,0,en
"""Rape survivors are not alone. Let's create communities of support and solidarity. #CommunitySupportSolidarity""",natural_nature_56,10/16/2019 22:02,instagram for Android,1,2,en
"""We must believe and support survivors of sexual violence. #BelieveAndSupport""",adventure_adorned_33,10/16/2019 22:02,instagram for iPhone,0,20,en
"""Every survivor's journey to healing is unique and valid. Let's support them without judgment. #HealingJourney""",wanderlust_wonder_81,10/16/2019 22:02,instagram for iPhone,0,2,en
"""Consent is not negotiable. It's mandatory in all interactions. #MandatoryConsent""",wilderness_way_47,10/16/2019 22:02,instagram for Android,0,100,en
"""We must address the attitudes and beliefs that contribute to women rape in #India.""",tree_trekking_58,10/16/2019 22:01,instagram for iPhone,0,81,en
This is heartbreaking. Women should feel safe no matter where they are. #EndRapeCulture #IndiaNeedsChange (Negative),floral_fantasy_64,10/16/2019 22:01,instagram Web App,1,0,en
It's infuriating that this is still happening. We need to stand up and protect our women. #StopViolenceAgainstWomen #IndiaShame (Negative),sunlit_spirit_72,10/16/2019 22:01,instagram.io,1,41,en
"Every woman deserves to walk freely without fear. It's time for action, not just words. #WomenSafetyMatters #IndiaWakeUp (Negative)",nature_nurture_47,10/16/2019 22:01,instagram for Android,0,0,en
"As an Indian, I'm deeply ashamed of these incidents. We have to do better. #StandUpForChange #IndiaMustChange (Negative)",river_rhapsody_86,10/16/2019 22:01,instagram Web App,0,0,en
My heart goes out to all the victims. We need stricter laws and swift justice. #JusticeForWomen #IndiaActNow (Negative),trail_trekker_39,10/16/2019 22:01,instagram Web App,0,0,en
No woman should ever have to endure such brutality. We need to overhaul our mindset and laws. #BreakTheSilence #IndiaNeedsReform (Negative),eco_explorer_92,10/16/2019 22:00,instagram Web App,0,0,en
It's sickening how prevalent this issue still is. We need to educate and empower our society. #EmpowerWomen #IndiaNeedsJustice (Negative),wild_wanderer_58,10/16/2019 22:00,instagram Web App,1,41,en
Let's not turn a blind eye to this epidemic. It's time to take a stand and protect our women. #ProtectWomen #IndiaNeedsSafety (Negative),outdoor_odyssey_71,10/16/2019 22:00,instagram Web App,1,0,en
Let's stand together to ensure every woman feels safe and respected in our cities. #WomenSafety #EmpowerWomen,nature_nectar_83,10/16/2019 22:00,instagram Web App,0,71,en
We need to address the root causes of violence against women and work towards a safer future for all. #EndRapeCulture #SafeCities,leafy_loom_72,10/16/2019 22:00,instagram.io,0,0,en
My heart goes out to all the survivors of sexual violence. Let's break the silence and support each other. #SupportSurvivors #BreakTheSilence,greenery_glow_47,10/16/2019 21:59,instagram Web App,0,6857,en
"It's time for us to educate, advocate, and take action to prevent sexual violence in our communities. #PreventSexualAssault #RaiseAwareness",earth_essence_83,10/16/2019 21:59,instagram for Android,1,3291,en
Every woman deserves to walk the streets without fear. Let's create safer environments for everyone. #SafeStreets #FearlessWomen,mountain_majesty_56,10/16/2019 21:59,instagram Web App,1,4567,en
"Rape is a crime, not a cultural norm. Let's challenge harmful attitudes and behaviors. #StopRape #ChangeMindsets",serene_serenade_29,10/16/2019 21:59,instagram for Android,0,324,en
"We need better laws, better enforcement, and better support systems for survivors. #JusticeForSurvivors #LegalReform",woodland_wanderlust_86,10/16/2019 21:59,instagram for iPhone,0,0,en
"Silence perpetuates violence. Speak up, listen, and support those who need it. #BreakTheCycle #SupportEachOther",blossom_bloom_47,10/16/2019 21:59,instagram for iPhone,0,0,en
"The statistics are alarming, but together, we can make a difference. #EndViolence #TakeAction",natural_nugget_58,10/16/2019 21:59,instagram for Android,0,5,en
Respect is not optional. It's the foundation of a safe and inclusive society. #RespectWomen #EqualityForAll,adventure_aura_64,10/16/2019 21:58,instagram for iPhone,1,0,en
No woman should ever be blamed or shamed for the violence inflicted upon her. #NoMoreVictimBlaming #BelieveSurvivors,wanderlust_whimsy_81,10/16/2019 21:58,instagram for iPhone,1,7,en
Let's challenge the systems that fail to protect women and hold perpetrators accountable. #SystemicChange #Accountability,wilderness_wander_32,10/16/2019 21:58,instagram for iPhone,0,161,en
"Empathy, understanding, and solidarity are our strongest tools in the fight against sexual violence. #EmpathyMatters #Solidarity",tree_trekking_47,10/16/2019 21:58,instagram for iPhone,0,8,en
It's not enough to feel sympathy; we must take meaningful action to create change. #ActionOverWords #StandWithSurvivors,floral_fantasy_67,10/16/2019 21:58,instagram for Android,0,10,en
We owe it to future generations to create a world where sexual violence is unthinkable. #FutureWithoutViolence #ChangeIsPossible,sunlit_soul_32,10/16/2019 21:57,instagram Web App,1,0,en
"To all survivors: your strength is inspiring, and your voice matters. We are here to listen and support you. #SurvivorsSpeakOut #StrengthInNumbers",nature_nature_56,10/16/2019 21:57,instagram for Android,1,0,en
"Let's educate our children about consent, respect, and healthy relationships from a young age. #EducationIsKey #StartTheConversation",river_rover_88,10/16/2019 21:56,instagram for iPhone,0,100,en
Rape is a violation of human rights. Let's work towards a society where everyone's rights are protected. #HumanRights #Equality,trail_trek_73,10/16/2019 21:56,instagram for iPhone,0,0,en
It's on all of us to challenge the culture of silence and impunity surrounding sexual violence. #BreakTheTaboo #EndImpunity,eco_expedition_92,10/16/2019 21:56,instagram for Android,0,5,en
"Together, we can create communities where every woman feels valued, heard, and safe. #CommunitySupport #SafeSpaces",wild_wanderer_57,10/16/2019 21:56,instagram Web App,0,0,en
Our hearts go out to the brave survivors of sexual assault in India. #EndRapeCulture #IndiaSpeaksOut,natural_nature_56,10/16/2019 21:56,instagram Web App,0,1,en
"""Let's stand together to empower and protect women across all Indian cities. #EndViolence #India""",adventureseeker_99,10/16/2019 21:56,instagram for Android,0,2,en
"""Rape is a heinous crime that affects us all. We must work towards a safer and more just society. #StopRape #India""",wanderlust_wilderness,10/16/2019 21:55,instagram for iPhone,0,0,en
"""Every woman deserves to feel safe and respected, no matter where she lives. #EmpowerWomen #India""",ecoexplorer_91,10/16/2019 21:55,instagram for iPhone,0,36,en
"""Let's break the silence and speak out against sexual violence. Together, we can create change. #SpeakUp #India""",outdoor_enthusiast_23,10/16/2019 21:55,instagram for Android,0,7,en
"""My heart goes out to all the survivors of sexual assault. You are not alone. #SupportSurvivors #India""",wilderness_wanderer_56,10/16/2019 21:55,instagram for iPhone,0,161,en
"""Education and awareness are key in preventing violence against women. Let's educate ourselves and others. #EducationForAll #India""",earthlover_explorer,10/16/2019 21:55,instagram Web App,1,100,en
"""We must hold perpetrators accountable for their actions and work towards justice for survivors. #JusticeForAll #India""",wildflower_wanderer_78,10/16/2019 21:55,instagram.io,1,0,en
"""It's time to challenge harmful attitudes and behaviors that perpetuate rape culture. #BreakTheCycle #India""",explorewithheart_44,10/16/2019 21:54,instagram for Android,0,2,en
"""No woman should ever have to live in fear. We must strive for a society free from violence. #SafeSpaces #India""",greenery_goddess_63,10/16/2019 21:54,instagram Web App,0,3,en
"""Supporting survivors means believing them and providing them with the resources they need. #BelieveSurvivors #India""",wildwonder_wanderer,10/16/2019 21:54,instagram for Android,1,2,en
"""Let's create a culture of consent and respect, where every person's boundaries are honored. #ConsentMatters #India""",nature_navigator_32,10/16/2019 21:54,instagram for iPhone,0,0,en
"""Rape is not just a women's issue; it's a human rights issue. We must all play a role in ending it. #HumanRights #India""",wanderer_ofthewild,10/16/2019 21:54,instagram for iPhone,0,1,en
"""Together, we can build a future where every woman feels valued, respected, and safe. #FutureIsBright #India""",naturenomad_72,10/16/2019 21:54,instagram for Android,0,2,en
"""Raising awareness is the first step towards prevention. Let's start the conversation. #SpreadAwareness #India""",wilderness_soul_89,10/16/2019 21:54,instagram for iPhone,1,100,en
"""Survivors of sexual violence deserve our support and compassion, not judgment. #EndStigma #India""",earthbound_explorer_65,10/16/2019 21:54,instagram Web App,0,50,en
"""Educate, empower, and support. That's how we can make a difference in the fight against rape. #Empowerment #India""",serenity_seeker_94,10/16/2019 21:54,instagram.io,1,3,en
"""Let's teach our children about consent, boundaries, and respect from an early age. #TeachThemYoung #India""",adventure_inbloom_77,10/16/2019 21:53,instagram for Android,0,6,en
"""It's time to dismantle the systems that enable and perpetuate violence against women. #BreakTheSystem #India""",wanderlust_wildlife,10/16/2019 21:53,instagram Web App,1,4567,en
"""We must listen to survivors and center their voices in our efforts to combat sexual violence. #ListenAndLearn #India""",outdoor_odyssey_53,10/16/2019 21:53,instagram Web App,0,0,en
"""Every voice matters in the fight against rape. Let's amplify the voices of survivors and advocates. #AmplifyVoices #India""",natural_wonderer_88,10/16/2019 21:53,instagram Web App,1,2,en
